cruise,cast,niskin,date_time_utc,latitude,longitude,depth,replicate,POC_micromolar,PON_micromolar,POC_microg_perL,PON_microg_perL,C_to_N_molar_ratio,C_quality_flag,N_quality_flag
AR24A,1,3,2017-10-22 20:05:34+00:00,41.1297,-70.8292,20.17,a,15.677,2.724,188.288,38.149,5.756,1,1
AR24A,1,5,2017-10-22 20:07:36+00:00,41.1297,-70.8292,12.44,a,18.723,2.934,224.872,41.092,6.382,1,1
AR24A,1,7,2017-10-22 20:09:36+00:00,41.1297,-70.8292,1.9,a,22.999,2.85,276.238,39.914,8.071,1,1
AR24A,3,1,2017-10-22 22:42:36+00:00,40.7985,-70.8312,53.08,a,8.802,1.406,105.717,19.692,6.261,1,1
AR24A,3,2,2017-10-22 22:44:38+00:00,40.7985,-70.8312,33.29,a,2.74,0.684,32.906,9.584,4.004,1,1
AR24A,3,3,2017-10-22 22:47:03+00:00,40.7985,-70.8312,19.3,a,13.164,2.332,158.103,32.664,5.645,1,1
AR24A,3,6,2017-10-22 22:48:50+00:00,40.7985,-70.8312,2.82,a,10.835,1.586,130.141,22.22,6.83,1,1
AR24A,5,1,2017-10-23 02:35:46+00:00,40.4988,-70.8368,70.81,a,14.318,2.228,171.972,31.201,6.428,1,1
AR24A,5,4,2017-10-23 02:55:28+00:00,40.4988,-70.8368,20.5,a,22.949,3.684,275.63,51.6,6.229,1,1
AR24A,5,6,2017-10-23 02:57:14+00:00,40.4988,-70.8368,11.24,a,27.808,3.993,333.991,55.931,6.964,1,1
AR24A,5,8,2017-10-23 02:58:50+00:00,40.4988,-70.8368,2.78,a,27.682,4.298,332.48,60.206,6.44,1,1
AR24A,17,1,2017-10-25 02:51:24+00:00,40.3645,-70.7725,84.74,a,7.756,0.944,93.153,13.223,8.215,1,1
AR24A,17,3,2017-10-25 02:56:57+00:00,40.3645,-70.7725,27.71,a,4.905,0.825,58.913,11.554,5.946,1,1
AR24A,17,6,2017-10-25 02:59:49+00:00,40.3645,-70.7725,2.17,a,6.523,1.198,78.346,16.774,5.447,1,1
EN608,4,12,2018-02-01 05:52:23+00:00,41.0187,-70.8707,3.55,a,18.106,NaN,217.466,NaN,NaN,1,4
EN608,4,6,2018-02-01 05:47:34+00:00,41.02,-70.8713,29.46,a,16.722,2.551,200.841,35.729,6.555,1,1
EN608,4,4,2018-02-01 05:47:15+00:00,41.0201,-70.8713,29.6,a,16.257,2.361,195.255,33.07,6.886,1,1
EN608,5,5,2018-02-01 09:26:50+00:00,40.8575,-70.8841,30.04,a,13.718,2.029,164.766,28.423,6.76,1,1
EN608,5,13,2018-02-01 09:32:45+00:00,40.8561,-70.8844,3.24,a,17.883,3.074,214.793,43.059,5.817,1,1
EN608,8,9,2018-02-01 19:25:56+00:00,40.6945,-70.8846,29.65,a,14.458,2.287,173.65,32.031,6.322,1,1
EN608,8,12,2018-02-01 19:28:22+00:00,40.6938,-70.8845,14.6,a,13.132,1.974,157.72,27.645,6.653,1,1
EN608,8,16,2018-02-01 19:30:57+00:00,40.693,-70.8842,5.44,a,14.74,2.136,177.033,29.923,6.9,1,1
EN608,9,9,2018-02-01 23:44:13+00:00,40.5227,-70.8958,29.43,a,12.62,1.897,151.57,26.566,6.654,1,1
EN608,9,16,2018-02-01 23:49:07+00:00,40.5221,-70.8966,5,a,11.426,1.469,137.235,20.57,7.78,1,1
EN608,12,8,2018-02-02 09:25:23+00:00,40.3572,-70.8802,54.59,a,7.768,1.244,93.3,17.423,6.245,1,1
EN608,12,11,2018-02-02 09:27:54+00:00,40.3568,-70.88,35.58,a,9.743,1.45,117.014,20.315,6.717,1,1
EN608,12,18,2018-02-02 09:32:47+00:00,40.3561,-70.88,4.76,a,13.716,2.009,164.739,28.133,6.829,1,1
EN608,14,13,2018-02-02 15:31:47+00:00,40.2132,-70.8988,67.05,a,7.273,0.885,87.352,12.39,8.222,1,1
EN608,14,22,2018-02-02 15:39:42+00:00,40.2123,-70.9013,6.88,a,9.696,1.359,116.458,19.029,7.137,1,1
EN608,15,15,2018-02-02 19:21:06+00:00,40.1207,-70.8054,14.39,a,12.04,1.698,144.607,23.786,7.09,1,1
EN608,15,19,2018-02-02 19:23:19+00:00,40.1201,-70.8062,6.25,a,9.954,1.536,119.549,21.517,6.479,1,1
EN608,21,9,2018-02-03 23:10:51+00:00,39.9262,-70.8864,99.49,a,2.056,0.389,24.696,5.449,5.286,1,1
EN608,21,14,2018-02-03 23:16:31+00:00,39.9248,-70.8863,30.55,a,7.355,1.113,88.333,15.585,6.61,1,1
EN608,21,19,2018-02-03 23:20:44+00:00,39.9239,-70.8862,5.19,a,7.561,1.145,90.818,16.04,6.603,1,1
EN608,22,13,2018-02-04 03:38:15+00:00,40.0808,-70.8499,41.09,a,9.374,1.383,112.59,19.367,6.779,1,1
EN608,22,19,2018-02-04 03:44:44+00:00,40.0799,-70.8478,5.18,a,9.939,1.488,119.369,20.836,6.681,1,1
EN608,30,1,2018-02-05 00:07:32+00:00,41.3224,-70.5752,13.39,a,38.207,4.813,458.898,67.411,7.939,1,1
EN608,30,5,2018-02-05 00:09:33+00:00,41.3222,-70.5747,10.25,a,24.523,3.15,294.544,44.124,7.785,1,1
EN608,30,9,2018-02-05 00:11:54+00:00,41.3222,-70.5742,4.01,a,27.802,3.517,333.921,49.261,7.905,1,1
EN608,30,9,2018-02-05 00:11:54+00:00,41.3222,-70.5742,4.01,b,24.963,3.198,299.821,44.788,7.807,1,1
AR28B,2,5,2018-04-03 22:22:32+00:00,41.0313,-70.8832,26.8,a,30.996,4.577,372.284,64.111,6.772,1,1
AR28B,2,11,2018-04-03 22:27:31+00:00,41.0313,-70.8832,3.02,a,11.858,1.873,142.425,26.233,6.332,1,1
AR28B,3,4,2018-04-04 00:13:30+00:00,40.8638,-70.8848,34.79,a,44.839,6.482,538.543,90.786,6.918,1,1
AR28B,3,9,2018-04-04 00:20:14+00:00,40.8638,-70.8848,2.04,a,16.186,2.036,194.405,28.521,7.949,1,1
AR28B,4,3,2018-04-04 02:09:14+00:00,40.6972,-70.8835,44.07,a,18.513,3.065,222.354,42.937,6.039,1,1
AR28B,4,10,2018-04-04 02:17:17+00:00,40.6972,-70.8835,3.08,a,8.932,1.715,107.278,24.015,5.209,1,1
AR28B,5,7,2018-04-04 04:16:25+00:00,40.5297,-70.8827,15,a,8.164,1.637,98.051,22.924,4.988,1,1
AR28B,5,10,2018-04-04 04:18:48+00:00,40.5297,-70.8827,2.51,a,5.917,0.997,71.062,13.969,5.932,1,1
AR28B,10,12,2018-04-09 15:19:17+00:00,39.9403,-70.8822,28.08,a,4.491,0.665,53.944,9.317,6.752,1,1
AR28B,10,16,2018-04-09 15:21:21+00:00,39.9403,-70.8822,3.78,a,3.945,0.671,47.388,9.4,5.879,1,1
AR28B,12,15,2018-04-10 02:38:52+00:00,39.7735,-70.884,23.25,a,4.913,0.872,59.006,12.213,5.634,1,1
AR28B,12,19,2018-04-10 02:41:39+00:00,39.7735,-70.884,2.69,a,5.489,0.854,65.926,11.964,6.426,1,1
AR28B,17,13,2018-04-10 18:36:34+00:00,40.096,-70.8853,16.73,a,4.038,0.629,48.505,8.809,6.422,1,1
AR28B,17,17,2018-04-10 18:38:01+00:00,40.096,-70.8853,2.03,a,3.806,0.548,45.718,7.673,6.949,1,1
AR28B,27,12,2018-04-11 12:35:22+00:00,40.2268,-70.8842,32.97,a,3.859,0.808,46.344,11.312,4.778,1,1
AR28B,27,17,2018-04-11 12:38:18+00:00,40.2268,-70.8842,6.91,a,3.644,0.571,43.764,8.001,6.379,1,1
AR28B,28,10,2018-04-11 18:09:46+00:00,40.364,-70.8833,36.64,a,3.683,0.639,44.231,8.948,5.765,1,1
AR28B,28,14,2018-04-11 18:12:48+00:00,40.364,-70.8833,5.89,a,3.248,0.494,39.005,6.919,6.574,1,1
AR28B,37,13,2018-04-12 12:21:23+00:00,40.1367,-70.775,17.13,a,3.928,0.701,47.174,9.815,5.605,1,1
AR28B,37,14,2018-04-12 12:22:38+00:00,40.1367,-70.775,5.46,a,5.236,0.845,62.884,11.832,6.198,1,1
EN617,1,5,2018-07-20 17:33:46+00:00,41.2024,-70.8854,12.18,a,17.953,2.472,215.634,34.63,7.262,1,1
EN617,1,5,2018-07-20 17:33:46+00:00,41.2024,-70.8854,12.18,b,17.303,2.442,207.818,34.204,7.085,1,1
EN617,1,8,2018-07-20 17:36:20+00:00,41.2028,-70.8855,7.26,a,21.752,2.596,261.251,36.357,8.38,1,1
EN617,1,12,2018-07-20 17:38:51+00:00,41.2033,-70.8855,1.8,a,18.741,2.148,225.096,30.081,8.727,1,1
EN617,2,11,2018-07-20 23:07:16+00:00,41.0318,-70.8792,20.1,a,13.752,2.107,165.176,29.516,6.526,1,1
EN617,2,16,2018-07-20 23:12:37+00:00,41.0323,-70.8786,3.22,a,10.779,1.43,129.464,20.034,7.536,1,1
EN617,5,6,2018-07-21 06:53:47+00:00,40.8645,-70.8862,25.19,a,25.907,4.359,311.161,61.057,5.943,1,1
EN617,5,16,2018-07-21 07:03:24+00:00,40.865,-70.8884,1.64,a,8.64,1.461,103.775,20.466,5.913,1,1
EN617,8,4,2018-07-21 15:02:02+00:00,40.7003,-70.8792,44.21,a,8.931,1.336,107.266,18.716,6.684,1,1
EN617,8,7,2018-07-21 15:04:49+00:00,40.7007,-70.8785,24.66,a,15.328,2.465,184.095,34.529,6.218,1,1
EN617,8,16,2018-07-21 15:13:12+00:00,40.7019,-70.8767,2.27,a,8.378,1.075,100.631,15.059,7.793,1,1
EN617,9,7,2018-07-21 17:35:45+00:00,40.5203,-70.8812,20.18,a,16.237,2.263,195.013,31.693,7.176,1,1
EN617,9,11,2018-07-21 17:39:41+00:00,40.5214,-70.8813,4.44,a,14.003,1.906,168.192,26.702,7.346,1,1
EN617,12,10,2018-07-22 02:22:04+00:00,40.3687,-70.8893,28.67,a,14.454,2.215,173.602,31.028,6.525,1,1
EN617,12,20,2018-07-22 02:27:54+00:00,40.3697,-70.8893,4.75,a,6.845,0.868,82.21,12.163,7.883,1,1
EN617,13,18,2018-07-22 05:23:45+00:00,40.241,-70.8891,3.43,a,9.385,1.155,112.72,16.173,8.128,1,1
EN617,14,10,2018-07-22 09:18:00+00:00,40.1433,-70.7591,38.58,a,5.931,1.005,71.234,14.081,5.899,1,1
EN617,14,15,2018-07-22 09:23:08+00:00,40.1448,-70.7598,17.97,a,11.028,1.458,132.455,20.423,7.563,1,1
EN617,14,17,2018-07-22 09:26:08+00:00,40.1454,-70.7594,6.78,a,3.475,0.517,41.736,7.247,6.716,1,1
EN617,14,17,2018-07-22 09:26:08+00:00,40.1454,-70.7594,6.78,b,3.846,0.563,46.193,7.881,6.836,1,1
EN617,17,10,2018-07-22 18:34:51+00:00,40.0968,-70.8716,30.05,a,11.834,1.438,142.134,20.137,8.231,1,1
EN617,17,17,2018-07-22 18:38:17+00:00,40.0963,-70.8709,5.58,a,13.162,1.857,158.087,26.008,7.088,1,1
EN617,18,5,2018-07-22 21:59:12+00:00,39.9493,-70.882,75.41,a,2.176,0.311,26.13,4.361,6.987,1,1
EN617,18,9,2018-07-22 22:03:12+00:00,39.9492,-70.8813,39.97,a,9.298,1.207,111.672,16.902,7.705,1,1
EN617,18,16,2018-07-22 22:08:38+00:00,39.949,-70.8801,4.77,a,3.672,0.399,44.108,5.587,9.207,1,1
EN617,21,11,2018-07-23 13:57:56+00:00,39.7648,-70.8597,30.57,a,15.584,2.103,187.176,29.454,7.411,1,1
EN617,21,20,2018-07-23 14:04:12+00:00,39.7638,-70.8576,4.58,a,4.168,0.678,50.059,9.495,6.148,1,1
EN617,35,2,2018-07-25 01:19:19+00:00,41.3242,-70.5855,13.62,a,28.189,3.191,338.571,44.696,8.834,1,1
EN617,35,8,2018-07-25 01:22:48+00:00,41.3246,-70.5852,4.32,a,21.401,2.456,257.037,34.398,8.714,1,1
AR31A,1,12,2018-10-21 08:03:48+00:00,40.3615,-70.8813,4.38,a,14.43,2.083,173.319,29.173,6.928,1,1
AR31A,2,7,2018-10-21 10:19:35+00:00,40.5153,-70.8808,24.92,a,10.187,1.673,122.352,23.433,6.089,1,1
AR31A,2,9,2018-10-21 10:22:30+00:00,40.5153,-70.8808,2.9,a,9.329,1.401,112.048,19.618,6.661,1,1
AR31A,3,3,2018-10-21 12:12:27+00:00,40.6963,-70.8838,35.31,a,10.187,1.432,122.348,20.06,7.113,1,1
AR31A,3,7,2018-10-21 12:17:49+00:00,40.6963,-70.8838,2.3,a,11.735,1.64,140.95,22.969,7.156,1,1
AR31A,4,3,2018-10-21 14:15:59+00:00,40.8632,-70.8837,40.24,a,17.026,2.563,204.493,35.898,6.643,1,1
AR31A,4,3,2018-10-21 14:15:59+00:00,40.8632,-70.8837,40.24,b,17.581,2.643,211.16,37.015,6.653,1,1
AR31A,4,7,2018-10-21 14:21:38+00:00,40.8632,-70.8837,3.05,a,16.228,1.997,194.909,27.965,8.128,1,1
AR31A,5,3,2018-10-21 16:21:46+00:00,41.0312,-70.8828,29.82,a,24.274,4.394,291.547,61.551,5.524,1,1
AR31A,5,7,2018-10-21 16:26:34+00:00,41.0312,-70.8828,3.07,a,20.011,3.123,240.34,43.745,6.407,1,1
AR31A,6,1,2018-10-21 17:53:39+00:00,41.1965,-70.8832,17,a,32.174,5.304,386.438,74.291,6.066,1,1
AR31A,6,3,2018-10-21 17:56:05+00:00,41.1965,-70.8832,3.41,a,22.246,3.146,267.194,44.059,7.072,1,1
EN627,3,3,2019-02-01 21:47:03+00:00,41.1977,-70.8809,11.85,a,19.094,3.298,229.334,46.197,5.789,1,1
EN627,3,5,2019-02-01 21:48:52+00:00,41.1978,-70.8806,6.79,a,17.731,2.725,212.961,38.163,6.508,1,1
EN627,3,7,2019-02-01 21:54:47+00:00,41.1984,-70.8797,2.14,a,17.283,2.897,207.576,40.582,5.965,1,1
EN627,7,4,2019-02-02 06:35:46+00:00,41.027,-70.8803,30.42,a,20.426,3.527,245.327,49.408,5.79,1,1
EN627,7,10,2019-02-02 06:41:34+00:00,41.0257,-70.8792,3.82,a,14.979,2.521,179.912,35.314,5.941,1,1
EN627,7,10,2019-02-02 06:41:34+00:00,41.0257,-70.8792,3.82,b,17.107,2.791,205.467,39.09,6.13,1,1
EN627,8,1,2019-02-02 10:08:04+00:00,40.8635,-70.8856,50.67,a,11.998,2.265,144.101,31.729,5.296,1,1
EN627,8,8,2019-02-02 10:17:45+00:00,40.8643,-70.8879,5.08,a,11.257,NaN,135.201,NaN,NaN,3,4
EN627,8,8,2019-02-02 10:17:45+00:00,40.8643,-70.8879,5.08,b,12.476,1.956,149.842,27.393,6.379,1,1
EN627,12,4,2019-02-02 20:07:30+00:00,40.6978,-70.8802,45.49,a,13.512,1.991,162.293,27.882,6.788,1,1
EN627,12,8,2019-02-02 20:11:25+00:00,40.698,-70.8788,15.25,a,10.486,1.953,125.944,27.355,5.369,1,1
EN627,12,10,2019-02-02 20:13:29+00:00,40.6981,-70.8781,3.3,a,11.306,2.046,135.792,28.66,5.525,1,1
EN627,13,6,2019-02-02 23:37:00+00:00,40.5064,-70.8787,29.29,a,8.491,1.914,101.983,26.812,4.436,1,1
EN627,13,10,2019-02-02 23:40:43+00:00,40.5054,-70.8776,3.95,a,7.221,1.922,86.733,26.923,3.757,1,1
EN627,16,6,2019-02-03 10:59:04+00:00,40.3632,-70.8902,43.68,a,7.735,NaN,92.902,NaN,NaN,3,4
EN627,16,11,2019-02-03 11:04:13+00:00,40.3637,-70.8916,5.49,a,9.619,1.555,115.526,21.787,6.184,1,1
EN627,17,8,2019-02-03 14:10:26+00:00,40.2288,-70.8835,45.59,a,8.216,1.733,98.686,24.278,4.74,1,1
EN627,17,10,2019-02-03 14:15:25+00:00,40.2288,-70.8826,4.85,a,9.678,1.97,116.24,27.597,4.912,1,1
EN627,17,10,2019-02-03 14:15:25+00:00,40.2288,-70.8826,4.85,b,9.901,1.97,118.916,27.6,5.025,1,1
EN627,19,5,2019-02-03 18:02:36+00:00,40.1349,-70.7627,55.1,a,3.646,0,43.795,0,NaN,1,6
EN627,19,7,2019-02-03 18:07:29+00:00,40.1349,-70.7623,19.66,a,10.052,2.479,120.731,34.716,4.056,1,1
EN627,19,9,2019-02-03 18:09:45+00:00,40.1349,-70.7622,2.96,a,8.527,1.84,102.416,25.779,4.633,1,1
EN627,22,7,2019-02-04 02:13:04+00:00,40.0979,-70.881,25.33,a,12.24,1.932,147.008,27.06,6.335,1,1
EN627,22,11,2019-02-04 02:17:03+00:00,40.098,-70.88,2.54,a,18.424,2.872,221.288,40.225,6.416,1,1
EN627,24,6,2019-02-04 07:15:12+00:00,39.9381,-70.8856,19.85,a,12.562,2.155,150.88,30.178,5.831,1,1
EN627,24,8,2019-02-04 07:17:19+00:00,39.9381,-70.8857,13,a,13.027,2.206,156.46,30.897,5.905,1,1
EN627,24,9,2019-02-04 07:19:19+00:00,39.9381,-70.8859,4.9,a,16.368,3.055,196.589,42.791,5.358,1,1
EN627,26,7,2019-02-04 13:20:36+00:00,39.7783,-70.891,29.96,a,13.257,2.362,159.226,33.086,5.612,1,1
EN627,26,11,2019-02-04 13:25:03+00:00,39.7782,-70.892,5.1,a,14.119,2.507,169.574,35.112,5.632,1,1
EN627,29,6,2019-02-05 03:13:23+00:00,39.7781,-70.5245,70.19,a,2.962,0.796,35.571,11.148,3.721,1,1
EN627,29,8,2019-02-05 03:16:09+00:00,39.7784,-70.5248,40.13,a,1.692,0.537,20.323,7.518,3.152,1,1
EN627,29,10,2019-02-05 03:20:08+00:00,39.7787,-70.5254,1.83,a,1.668,0.609,20.032,8.531,2.738,1,1
EN627,45,1,2019-02-06 04:26:37+00:00,41.3199,-70.5728,14.57,a,47.048,5.164,565.083,72.329,9.111,1,1
EN627,45,5,2019-02-06 04:28:43+00:00,41.3196,-70.5729,8.68,a,36.747,4.163,441.362,58.306,8.828,1,1
EN627,45,9,2019-02-06 04:30:46+00:00,41.3193,-70.5731,2.01,a,27.328,3.588,328.223,50.254,7.617,1,1
AR34B,2,4,2019-04-15 04:46:14+00:00,40.6975,-70.8842,34.35,a,18.467,2.837,221.805,39.732,6.51,1,1
AR34B,2,9,2019-04-15 04:51:23+00:00,40.6975,-70.8842,5.58,a,15.431,2.516,185.34,35.243,6.133,1,1
AR34B,3,5,2019-04-15 06:37:29+00:00,40.8643,-70.8827,14.46,a,17.927,3.324,215.321,46.552,5.394,1,1
AR34B,3,7,2019-04-15 06:39:25+00:00,40.8643,-70.8827,5.4,a,12.95,2.352,155.539,32.948,5.505,1,1
AR34B,4,5,2019-04-15 08:17:17+00:00,41.0308,-70.8813,18.5,a,11.092,2.282,133.227,31.962,4.861,1,1
AR34B,4,7,2019-04-15 08:19:28+00:00,41.0308,-70.8813,5.48,a,11.721,2.143,140.779,30.02,5.469,1,1
AR34B,5,2,2019-04-15 09:54:45+00:00,41.197,-70.8827,16.4,a,6.611,1.215,79.405,17.016,5.442,1,1
AR34B,5,4,2019-04-15 09:56:55+00:00,41.197,-70.8827,5.55,a,8.65,1.827,103.897,25.595,4.734,1,1
AR34B,6,7,2019-04-17 03:09:55+00:00,40.226,-70.8845,75.14,a,6.304,1.153,75.711,16.151,5.467,1,1
AR34B,6,12,2019-04-17 03:16:23+00:00,40.226,-70.8845,32.43,a,12.259,2.322,147.238,32.525,5.279,1,1
AR34B,6,15,2019-04-17 03:19:30+00:00,40.226,-70.8845,6.65,a,15.503,3.035,186.199,42.513,5.108,1,1
AR34B,7,5,2019-04-17 06:19:10+00:00,40.5138,-70.8823,34.34,a,15.605,2.704,187.431,37.873,5.771,1,1
AR34B,7,8,2019-04-17 06:23:52+00:00,40.5138,-70.8823,5.4,a,15.583,2.789,187.161,39.062,5.588,1,1
AR34B,8,5,2019-04-17 08:01:53+00:00,40.3637,-70.8838,29.63,a,12.108,2.471,145.431,34.609,4.9,1,1
AR34B,8,8,2019-04-17 08:06:37+00:00,40.3637,-70.8838,5.82,a,11.917,2.075,143.135,29.07,5.742,1,1
AR34B,9,5,2019-04-18 01:57:48+00:00,40.137,-70.7763,47.91,a,4.921,NaN,59.105,NaN,NaN,1,4
AR34B,9,9,2019-04-18 02:02:55+00:00,40.137,-70.7763,4.99,a,5.372,0.943,64.523,13.203,5.699,1,1
AR34B,10,12,2019-04-18 05:49:51+00:00,39.774,-70.8833,25.42,a,19.498,3.196,234.188,44.761,6.102,1,1
AR34B,10,14,2019-04-18 05:52:42+00:00,39.774,-70.8833,5.52,a,16.732,2.994,200.965,41.942,5.588,1,1
